SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
恒宝股份,2018-01-01,恒宝股份有限公司,1.112,2.66,002104,349.591,2018-12-31,6.558,0.762,7.682,6.735,0.204336,1690305333.68,7.484,2.924,147632268.11,5.686,309.897,11.035,11.899,23.527,6.471
恒宝股份,2019-01-01,恒宝股份有限公司,0.918,2.7669,002104,319.572,2019-12-31,3.772,0.668,4.5,8.257,0.124504,1535467255.35,5.877,4.408,87033117.24,4.809,158.868,14.484,14.148,-9.16,5.446
莱宝高科,2018-01-01,深圳莱宝高科技股份有限公司,1.404,5.4433,002106,334.353,2018-12-31,4.727,0.928,5.855,3.546,0.318705,4416084125.93,8.147,3.707,227518458.85,3.371,181.216,3.846,20.667,10.697,4.049
莱宝高科,2019-01-01,深圳莱宝高科技股份有限公司,1.346,5.7441,002106,298.303,2019-12-31,5.542,0.944,6.952,4.087,0.399333,4802171361.91,7.469,9.931,283102913.8,3.028,174.94,3.732,23.824,8.743,3.518
三维通信,2018-01-01,三维通信股份有限公司,1.757,4.2823,002115,70.234,2018-12-31,4.817,0.797,9.058,5.249,0.387865,3553614079.77,8.122,5.594,228494054.61,1.008,30.358,6.181,46.23,200.788,1.198
三维通信,2019-01-01,三维通信股份有限公司,2.609,3.4831,002115,112.427,2019-12-31,3.443,1.207,6.33,9.554,0.220464,5558891021.37,17.237,1.16,172524612.01,1.246,55.134,8.294,43.835,56.429,1.41
康强电子,2018-01-01,宁波康强电子股份有限公司,1.642,2.7965,002119,71.153,2018-12-31,4.794,0.886,9.939,2.597,0.277943,1482897034.3,3.95,0.766,92354978.63,0.736,20.583,4.383,51.805,13.752,1.1
康强电子,2019-01-01,宁波康强电子股份有限公司,1.499,2.3786,002119,65.976,2019-12-31,5.303,0.812,10.372,2.611,0.246701,1418269645.18,3.716,7.819,92468553.68,0.864,19.569,4.137,50.722,-4.358,1.247
沃尔核材,2018-01-01,深圳市沃尔核材股份有限公司,1.485,2.0473,002130,66.749,2018-12-31,0.324,0.557,0.794,1.973,0.016257,3525024216.47,5.142,3.164,34024331.45,0.711,16.068,3.135,56.39,36.646,0.868
沃尔核材,2019-01-01,深圳市沃尔核材股份有限公司,1.448,2.2785,002130,84.627,2019-12-31,3.257,0.618,7.306,1.956,0.166476,3978083207.29,5.482,0.213,225540560.66,0.969,22.998,2.922,51.719,12.853,1.153
