SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
鸿利智汇,2019-01-01,鸿利智汇集团股份有限公司,1.702,2.5701,300219,88.87,2019-12-31,-21.001,0.861,-47.953,3.395,-1.238084,3593570974.04,7.006,-24.094,-938833633.84,1.009,19.395,3.547,48.346,-10.232,1.27
金运激光,2018-01-01,武汉金运激光股份有限公司,1.023,1.9889,300220,122.615,2018-12-31,2.022,0.602,2.85,2.66,0.056683,212787605.82,1.534,1.16,7846860.69,1.299,82.819,8.623,27.489,15.052,2.192
金运激光,2019-01-01,武汉金运激光股份有限公司,1.002,2.1031,300220,129.289,2019-12-31,4.101,0.594,5.711,2.872,0.120097,219301161.94,1.704,7.696,15808286.33,1.398,83.157,6.862,28.736,3.061,2.073
北京君正,2018-01-01,北京君正集成电路股份有限公司,0.293,5.6907,300223,797.809,2018-12-31,1.148,0.221,1.184,7.165,0.067354,259670111.2,1.683,3.563,13515446.01,35.996,691.714,14.604,4.679,40.768,39.453
北京君正,2019-01-01,北京君正集成电路股份有限公司,0.364,6.1129,300223,1647.707,2019-12-31,4.679,0.271,4.748,9.371,0.290262,339351160.33,2.132,9.306,58659727.2,16.763,302.415,14.865,5.659,30.685,18.992
光韵达,2018-01-01,深圳光韵达光电科技股份有限公司,1.392,3.4332,300227,94.97,2018-12-31,6.158,0.524,8.933,1.429,0.306696,580347837.91,4.473,8.751,67972120.16,0.98,24.383,2.44,33.261,13.038,1.221
光韵达,2019-01-01,深圳光韵达光电科技股份有限公司,1.348,4.355,300227,129.815,2019-12-31,4.96,0.544,6.621,1.692,0.288356,790428593.71,3.904,51.779,82773087.41,1.416,35.216,2.772,35.142,36.199,1.79
洲明科技,2018-01-01,深圳市洲明科技股份有限公司,1.283,3.1096,300232,79.914,2018-12-31,7.291,0.8,17.415,5.665,0.541537,4524337284.37,2.725,31.196,426363249.49,0.871,33.281,3.817,59.135,49.292,1.308
洲明科技,2019-01-01,深圳市洲明科技股份有限公司,1.227,3.0673,300232,65.743,2019-12-31,7.606,0.804,17.862,6.544,0.57316,5604258795.37,2.344,17.126,537926086.29,0.717,24.993,3.848,58.84,23.869,1.178
瑞丰光电,2018-01-01,深圳市瑞丰光电子股份有限公司,1.181,2.4178,300241,109.196,2018-12-31,3.584,0.649,6.454,3.176,0.156045,1562008171.52,5.349,0.549,85033408.42,1.195,24.621,3.123,44.533,-1.369,1.429
